MagicItemLevel,MagicItemChance,LootGroup,Count,NpcTemplates,STR,BaseStrmod,CustomHitsLevel,HealthPoints,DEX,BaseDexmod,TotalDex,Mobs Reorganizzed
6,60,69,1,centaur,230,550,0,780,100,300,400,
5,60,22,1,daemonknight,300,450,0,750,70,10,80,
5,60,37,1,dragon1,100,650,0,750,140,10,150,
5,60,37,1,dragon2,100,650,0,750,150,10,160,
5,80,59,1,bladeddaemon,475,275,0,750,190,100,290,
4,50,59,1,blackorc,355,350,0,705,120,150,270,
4,50,59,1,minotaur1,355,350,0,705,120,150,270,
4,50,59,1,minotaur2,355,350,0,705,120,150,270,
4,50,59,1,savage,355,350,0,705,120,150,270,
4,80,60,1,blackorcdefender,355,350,0,705,120,150,270,
3,50,56,1,lizardmanking,150,550,0,700,200,10,210,
4,50,59,1,forestwraith,400,300,0,700,180,150,330,
4,80,60,1,yomotsuwarrior,150,550,0,700,150,200,350,
5,40,41,1,darkmage,200,500,0,700,100,500,600,
5,45,132,1,twistedanimation,100,600,0,700,100,100,200,
5,55,37,1,stormdragon,200,500,0,700,150,200,350,
5,75,37,1,goldendrake,100,600,0,700,140,200,340,
5,75,37,1,silverdrake,100,600,0,700,180,200,380,
5,75,37,1,wyrm,100,600,0,700,180,200,380,
6,60,103,1,vortexsorcerer,200,500,0,700,175,400,575,
6,65,31,1,forestlord,400,300,0,700,80,10,90,
6,65,31,1,sporelord,400,300,0,700,80,10,90,
6,85,102,1,snowmaiden,200,500,0,700,200,300,500,
4,40,41,1,brigandranger,100,550,0,650,100,300,400,
5,40,59,1,impaler,475,175,0,650,190,100,290,
5,50,75,1,lichelord,350,300,0,650,95,10,105,
5,55,79,1,shadowlord,100,550,0,650,100,200,300,
5,55,35,1,sphinx,200,450,0,650,150,150,300,
5,65,80,1,radiantwisp,150,500,0,650,175,100,275,
5,95,103,1,armoredundeaddragon,100,550,0,650,140,10,150,
5,95,103,1,undeadhorse,100,550,0,650,140,10,150,
5,95,103,1,undeadllama,100,550,0,650,140,10,150,
6,60,69,1,brigandking,100,550,0,650,300,300,600,
5,40,36,1,earthwyrm,280,350,0,630,150,100,250,
4,15,59,1,darkknight,450,150,0,600,150,20,170,
4,40,41,1,darkranger,200,400,0,600,100,300,400,
4,50,40,1,noonwraith,500,100,0,600,80,100,180,
4,50,22,1,titan,400,200,0,600,80,10,90,
4,75,35,1,blackorcshaman,250,350,0,600,250,150,400,
4,95,36,1,heavenlydrake,150,450,0,600,100,200,300,
5,40,22,1,daemon,200,400,0,600,90,10,100,
5,50,69,1,dracula,200,400,0,600,200,200,400,
5,50,69,1,vrykol,200,400,0,600,200,200,400,
5,60,131,1,vortexnaga,400,200,0,600,300,150,450,
5,75,35,1,deathbringer,80,500,0,580,100,400,500,
5,75,35,1,earthmaster,80,500,0,580,100,400,500,
3,25,21,1,shadowgolem,450,100,0,550,90,300,390,
4,25,46,1,bloodelemental,300,250,0,550,175,10,185,
4,40,37,1,solenqueen,200,350,0,550,60,10,70,
4,40,37,1,terathanmage,200,350,0,550,60,10,70,
4,50,36,1,spectraldrake,200,350,0,550,95,10,105,
4,70,36,1,banshee,200,350,0,550,95,10,105,
4,90,59,1,fleshgolem,300,250,0,550,100,80,180,
4,90,36,1,wailinghost,200,350,0,550,95,10,105,
5,15,79,1,corruptedshadow,100,450,0,550,100,200,300,
5,55,22,1,occultliche,275,275,0,550,100,150,250,
4,5,59,1,bog,200,300,0,500,80,150,230,
4,5,59,1,femaleminotaur,200,300,0,500,80,150,230,
4,25,36,1,drake1,150,350,0,500,100,10,110,
4,25,36,1,drake2,150,350,0,500,100,10,110,
4,25,36,1,drake3,150,350,0,500,100,10,110,
4,25,36,1,earthdrake,150,350,0,500,50,10,60,
4,40,36,1,darkthief,200,300,0,500,50,300,350,
4,40,59,1,darkwarrior,200,300,0,500,50,300,350,
4,40,59,1,ogrelord,200,300,0,500,80,150,230,
4,45,129,1,blightwood,100,400,0,500,100,50,150,
4,45,36,1,skeletaldrake,350,150,0,500,100,10,110,
4,45,129,1,twistedbramble,100,400,0,500,100,50,150,
4,50,59,1,abominablesnowman,200,300,0,500,80,150,230,
4,50,22,1,icefiend,200,300,0,500,200,100,300,
4,50,59,1,umberhulk,200,300,0,500,80,150,230,
4,50,59,1,yeti,200,300,0,500,80,150,230,
5,45,37,1,illama,100,400,0,500,150,10,160,
5,45,37,1,infernodragon,100,400,0,500,150,10,160,
5,45,37,1,tidaldragon,100,400,0,500,140,200,340,
5,50,132,1,bezerker,100,400,0,500,100,400,500,
5,60,131,1,taintedmage,200,300,0,500,100,50,150,
5,65,36,1,airdrake,250,250,0,500,255,300,555,
5,80,102,1,evilspellbook,250,250,0,500,500,100,600,
5,80,102,1,seeker,250,250,0,500,500,100,600,
2,15,40,1,stonegargoyle,95,400,0,495,70,10,80,
2,15,40,1,stoneharpy,95,400,0,495,70,10,80,
3,25,21,1,steelgolem,450,30,0,480,100,10,110,
5,55,22,1,bloodliche,200,275,0,475,60,150,210,
5,65,22,1,nullmag,222,250,0,472,130,100,230,
5,90,103,1,Deathmag,222,250,0,472,130,100,230,
3,35,35,1,nightmare,200,250,0,450,220,250,470,
3,50,65,1,terathanmatriarch,200,250,0,450,60,10,70,
3,60,36,1,frostdrake,250,200,0,450,90,200,290,
3,90,103,1,babyblue,200,250,0,450,50,0,50,
4,25,36,1,wyvern,150,300,0,450,100,10,110,
4,45,37,1,Frankenstein,200,250,0,450,200,250,450,
4,55,78,1,greatershadow,100,350,0,450,100,175,275,
4,60,74,1,earthelementallord,200,250,0,450,100,50,150,
4,75,114,1,void,225,225,0,450,290,225,515,
4,90,74,1,crystalelemental,200,250,0,450,100,80,180,
4,95,0,1,phoenix,100,350,0,450,100,300,400,
5,50,102,1,daemonlieutenant,200,250,0,450,200,150,350,
5,55,35,1,poisonmare,200,250,0,450,150,250,400,
5,55,35,1,skeletalhorse,200,250,0,450,150,250,400,
5,55,35,1,undeadmare1,200,250,0,450,150,250,400,
5,55,35,1,undeadmare2,200,250,0,450,150,250,400,
5,60,46,1,djinn,150,300,0,450,90,10,100,
5,50,37,1,gravespider,290,150,0,440,195,100,295,
3,25,21,1,jadegolem,400,30,0,430,100,10,110,
5,80,75,1,infernowisp,120,300,0,420,175,800,975,
4,40,75,1,Corruptcouncy,110,300,0,410,120,10,130,
9,80,4,1,kapparat,400,10,0,410,300,10,310,
2,10,127,1,corruptedterathan,100,300,0,400,100,150,250,
2,20,71,1,solenavenger,200,200,0,400,200,40,240,
4,25,36,1,celestialdrake,150,250,0,400,100,300,400,
4,25,36,1,ihorse,150,250,0,400,100,300,400,
4,25,36,1,infernodrake,150,250,0,400,100,300,400,
4,25,36,1,rockdrake,150,250,0,400,100,300,400,
4,25,36,1,sanddrake,150,250,0,400,100,300,400,
4,25,36,1,tidaldrake,150,250,0,400,100,300,400,
4,25,36,1,undeaddrake,150,250,0,400,100,10,110,
4,25,36,1,waterdrake,100,300,0,400,100,300,400,
4,50,128,1,darkstrangler,100,300,0,400,100,100,200,
4,50,46,1,efreet,150,250,0,400,90,10,100,
4,50,59,1,snapjaw,250,150,0,400,200,10,210,
4,50,131,1,taintedwarrior1,100,300,0,400,100,150,250,
4,50,131,1,taintedwarrior2,100,300,0,400,100,150,250,
4,55,77,1,lessershadow,250,150,0,400,100,100,200,
4,55,71,1,Vampire1,150,250,0,400,150,250,400,
3,25,21,1,onyxgolem,350,30,0,380,100,10,110,
3,40,47,1,brigandgeneral,80,300,0,380,80,300,380,
4,50,57,1,summoner,80,300,0,380,200,300,500,
3,50,23,1,darkspawn,220,150,0,370,60,10,70,
1,10,23,1,undeadpirate2,150,200,0,350,150,100,250,
2,20,71,1,ophidianavenger,200,150,0,350,200,10,210,
2,25,19,1,troll_lord,200,150,0,350,120,30,150,
2,60,38,1,flamegargoyle,200,150,0,350,85,10,95,
3,25,19,1,trollwarlord,175,175,0,350,90,100,190,
3,25,21,1,woodgolem,350,0,0,350,90,10,100,
3,30,60,1,trollking,175,175,0,350,70,150,220,
3,50,40,1,cyclops,250,100,0,350,120,10,130,
3,55,71,1,Vampire2,150,200,0,350,150,200,350,
4,25,36,1,firedrake,150,200,0,350,100,10,110,
4,25,36,1,poisondrake,150,200,0,350,100,200,300,
4,25,36,1,stormdrake,100,250,0,350,140,200,340,
4,40,37,1,ophidianqueen,200,150,0,350,60,10,70,
4,50,46,1,poisonelemental,200,150,0,350,150,10,160,
4,60,73,1,iceelementallord,200,150,0,350,200,100,300,
4,60,73,1,snowelementallord,200,150,0,350,200,100,300,
4,60,73,1,waterelementallord,200,150,0,350,200,100,300,
4,65,22,1,watermag,175,175,0,350,130,100,230,
3,25,21,1,stonegolem,300,30,0,330,90,10,100,
4,90,102,1,Airmag,175,150,0,325,130,100,230,
4,90,102,1,earthmag,175,150,0,325,130,100,230,
4,90,102,1,firemag,175,150,0,325,130,100,230,
3,50,15,1,patchworkskeleton,300,10,0,310,60,10,70,
4,50,20,1,iceelemental,140,170,0,310,70,10,80,
4,50,20,1,snowelemental,140,170,0,310,70,10,80,
2,50,46,1,WingedAvenger,155,150,0,305,100,150,250,
3,25,13,1,koboldgeneral,205,100,0,305,155,150,305,
3,50,13,1,orcdefender,155,150,0,305,80,150,230,
3,80,3,1,blightling,205,100,0,305,80,10,90,
1,50,27,1,ratman_lord,200,100,0,300,200,250,450,
1,50,25,1,shade,150,150,0,300,80,10,90,
3,30,23,1,daemonspawn,150,150,0,300,60,100,160,
3,40,66,1,ophidianjusticar,150,150,0,300,200,10,210,
3,45,0,1,holywisp,150,150,0,300,175,60,235,
3,50,59,1,sandworm,150,150,0,300,200,10,210,
3,75,13,1,orcking,200,100,0,300,150,150,300,
4,50,131,1,evisceratedcarcass,100,200,0,300,200,400,600,
4,50,131,1,taintedranger,100,200,0,300,100,250,350,
4,55,36,1,cavedrake,100,200,0,300,150,10,160,
4,60,73,1,airelementallord,200,100,0,300,200,300,500,
4,60,124,1,fireelementallord,200,100,0,300,200,100,300,
5,55,37,1,shadowdragon,100,200,0,300,140,300,440,
2,50,46,1,troll6,145,150,0,295,80,10,90,
3,45,46,1,deadlizard,140,150,0,290,75,10,85,
2,50,42,1,orccaptain,135,150,0,285,90,100,190,
3,40,23,1,minordaemon,125,150,0,275,80,100,180,
3,50,56,1,lizardmandefender,125,150,0,275,80,100,180,
2,60,23,1,bonewarlock,120,150,0,270,84,10,94,
3,45,31,1,orcmastermage,155,100,0,255,80,10,90,
4,45,31,1,koboldenchanter,155,100,0,255,80,10,90,
4,25,37,1,orcishnecromancer,102,150,0,252,100,10,110,
4,45,37,1,koboldunderlord,102,150,0,252,100,10,110,
2,25,38,1,frostgargoyle,150,100,0,250,85,10,95,
2,30,14,1,icetroll,150,100,0,250,85,100,185,
3,25,21,1,sewagegolem,250,0,0,250,90,10,100,
3,45,71,1,ophidianknighterrant,150,100,0,250,200,10,210,
3,50,66,1,solenmage,150,100,0,250,60,10,70,
3,60,57,1,drow,150,100,0,250,95,100,195,
3,65,57,1,airmaster,150,100,0,250,80,10,90,
2,30,43,1,troll5,135,100,0,235,75,10,85,
3,25,20,1,earthelemental,200,30,0,230,40,10,50,
2,10,68,1,terathanavenger,150,75,0,225,150,10,160,
2,30,14,1,troll4,125,100,0,225,70,10,80,
2,50,54,1,lizardmanwarlock,125,100,0,225,80,100,180,
2,60,54,1,trollshaman,125,100,0,225,70,100,170,
3,25,125,1,wisp,125,100,0,225,175,10,185,
3,45,125,1,mountainwisp,125,100,0,225,175,10,185,
3,50,46,1,necromancer,120,100,0,220,80,10,90,
1,60,31,1,orccleric,115,100,0,215,80,10,90,
2,30,43,1,orcelite,115,100,0,215,95,100,195,
2,45,31,1,orcmage,115,100,0,215,80,10,90,
2,60,31,1,koboldpriest,115,100,0,215,80,10,90,
2,50,15,1,mummy,200,10,0,210,60,10,70,
3,6,42,1,koboldelite,200,10,0,210,85,10,95,
3,25,20,1,waterelemental,200,10,0,210,70,10,80,
1,50,3,1,gremlin,105,100,0,205,50,10,60,
3,6,42,1,orc_lord,195,10,0,205,80,10,90,
3,25,20,1,airelemental,195,10,0,205,140,10,150,
2,30,69,1,ophidianshaman,150,50,0,200,150,10,160,
2,30,69,1,solenshaman,150,50,0,200,150,10,160,
2,30,69,1,terathanpriest,150,50,0,200,150,10,160,
2,40,67,1,ophidianwarrior,100,100,0,200,150,10,160,
2,40,41,1,trollarcher3,100,100,0,200,110,10,120,
2,45,57,1,beholder,150,50,0,200,90,10,100,
2,45,25,1,eviladept,100,100,0,200,80,10,90,
2,50,39,1,bonemage,100,100,0,200,80,100,180,
2,50,14,1,Iceskeleton,150,50,0,200,80,100,180,
3,45,31,1,koboldwarlock,100,100,0,200,85,10,95,
9,99,198,1,Wyrm9Armor,200,0,0,200,200,0,200,
9,99,199,1,Wyrm9Weapon,200,0,0,200,200,0,200,
10,99,198,1,Wyrm10Armor,200,0,0,200,200,0,200,
10,99,199,1,Wyrm10Weapon,200,0,0,200,200,0,200,
11,99,198,1,Wyrm11Armor,200,0,0,200,200,0,200,
11,99,199,1,Wyrm11Weapon,200,0,0,200,200,0,200,
2,50,52,1,brigandmarksmen,185,10,0,195,95,10,105,
2,20,41,1,trollarcher2,90,100,0,190,95,10,105,
2,30,41,1,trollmarksman2,85,100,0,185,110,10,120,
2,20,42,1,snoworclord,150,30,0,180,200,10,210,
3,25,124,1,fireelemental,170,10,0,180,70,10,80,
3,80,23,1,liche,170,10,0,180,70,10,80,
4,60,75,1,bane,130,50,0,180,500,200,700,
2,45,31,1,ratmage,75,100,0,175,80,10,90,
3,30,66,1,ophidianzealot,125,50,0,175,200,10,210,
1,50,54,1,lizardmanshaman,70,100,0,170,100,10,110,
2,20,41,1,trollarcher,70,100,0,170,80,10,90,
2,30,41,1,trollmarksman,70,100,0,170,95,10,105,
3,50,23,1,flamingskeleton,120,50,0,170,80,100,180,
2,50,41,1,drowarcher,155,10,0,165,120,10,130,
3,50,59,1,wight,125,40,0,165,80,40,120,
1,50,43,1,orc3,150,10,0,160,85,100,185,
1,50,43,1,orc4,150,10,0,160,90,100,190,
2,20,38,1,gargoyle,120,40,0,160,70,10,80,
3,50,66,1,ophidianmage,150,10,0,160,60,10,70,
1,5,14,1,ogre,140,10,0,150,50,10,60,
3,40,76,1,ophidianapprenticemage,125,25,0,150,200,10,210,
3,100,31,1,gazer,140,10,0,150,80,10,90,
1,2,123,1,ettin2,130,10,0,140,120,10,130,
1,5,14,1,ettin,130,10,0,140,120,10,130,
0,0,14,1,revenant,90,45,0,135,70,50,120,
1,5,3,1,spectre,125,10,0,135,80,10,90,
1,5,121,1,zulu,120,10,0,130,110,10,120,
1,10,47,1,undeadpirate1,100,10,0,110,100,10,110,
0,0,15,1,zombie,65,10,0,75,30,10,40,
1,10,4,1,Rabbit,10,10,0,20,60,10,70,
